image,text
Five-SeveN Candy Apple.png,Five-SeveN Candy Apple pistola
Five-SeveN Capillary.png,Five-SeveN Capillary pistola
Five-SeveN Case Hardened.png,Five-SeveN Case Hardened pistola metálica azul dourada
Five-SeveN Colega.png,Five-SeveN Colega pistola
Five-SeveN Contractor.png,Five-SeveN Contractor pistola
Five-SeveN Coolant.png,Five-SeveN Coolant pistola
Five-SeveN Copper Galaxy.png,Five-SeveN Copper Galaxy pistola
Five-SeveN Crimson Blossom.png,Five-SeveN Crimson Blossom pistola
Five-SeveN Fairy Tale.png,Five-SeveN Fairy Tale pistola
Five-SeveN Fall Hazard.png,Five-SeveN Fall Hazard pistola
Five-SeveN Flame Test.png,Five-SeveN Flame Test pistola
Five-SeveN Forest Night.png,Five-SeveN Forest Night pistola
Five-SeveN Fowl Play.png,Five-SeveN Fowl Play pistola
Five-SeveN Hot Shot.png,Five-SeveN Hot Shot pistola
Five-SeveN Hybrid.png,Five-SeveN Hybrid pistola
Five-SeveN Hyper Beast.png,Five-SeveN Hyper Beast pistola monstro colorida psicodélica
Five-SeveN Jungle.png,Five-SeveN Jungle pistola
Five-SeveN Kami.png,Five-SeveN Kami pistola
Five-SeveN Multidão Enfurecida.png,Five-SeveN Multidão Enfurecida pistola
Five-SeveN Neon Kimono.png,Five-SeveN Neon Kimono pistola
Five-SeveN Nightshade.png,Five-SeveN Nightshade pistola
Five-SeveN Nitro.png,Five-SeveN Nitro pistola
Five-SeveN Orange Peel.png,Five-SeveN Orange Peel pistola
Five-SeveN Retrobution.png,Five-SeveN Retrobution pistola
Five-SeveN Scrawl.png,Five-SeveN Scrawl pistola
Five-SeveN Scumbria.png,Five-SeveN Scumbria pistola
Five-SeveN Silver Quartz.png,Five-SeveN Silver Quartz pistola
Five-SeveN Triumvirate.png,Five-SeveN Triumvirate pistola
Five-SeveN Urban Hazard.png,Five-SeveN Urban Hazard pistola
Five-SeveN Violent Daimyo.png,Five-SeveN Violent Daimyo pistola
Five-SeveN Withered Vine.png,Five-SeveN Withered Vine pistola
Flip Knife Autotronic.png,Flip Knife Autotronic faca
Flip Knife Black Laminate.png,Flip Knife Black Laminate faca
Flip Knife Blue Steel.png,Flip Knife Blue Steel faca
Flip Knife Boreal Forest.png,Flip Knife Boreal Forest faca
Flip Knife Bright Water.png,Flip Knife Bright Water faca
Flip Knife Case Hardened.png,Flip Knife Case Hardened faca metálica azul dourada
Flip Knife Crimson Web.png,Flip Knife Crimson Web faca vermelha teia de aranha
Flip Knife Damascus Steel.png,Flip Knife Damascus Steel faca
Flip Knife Fade.png,Flip Knife Fade faca degradê colorido brilhante
Flip Knife Forest DDPAT.png,Flip Knife Forest DDPAT faca
Flip Knife Freehand.png,Flip Knife Freehand faca
Flip Knife Lore.png,Flip Knife Lore faca
Flip Knife Marble Fade.png,Flip Knife Marble Fade faca degradê colorido brilhante degradê mármore colorido
Flip Knife Night.png,Flip Knife Night faca
Flip Knife Safari Mesh.png,Flip Knife Safari Mesh faca
Flip Knife Scorched.png,Flip Knife Scorched faca
Flip Knife Slaughter.png,Flip Knife Slaughter faca
Flip Knife Stained.png,Flip Knife Stained faca
Flip Knife Tiger Tooth.png,Flip Knife Tiger Tooth faca dourada listras de tigre
Flip Knife Ultraviolet.png,Flip Knife Ultraviolet faca
Flip Knife Urban Masked.png,Flip Knife Urban Masked faca
Flip Knife Vanilla.png,Flip Knife Vanilla faca
G3SG1 Ancient Ritual.png,G3SG1 Ancient Ritual sniper automática
G3SG1 Arctic Camo.png,G3SG1 Arctic Camo sniper automática
G3SG1 Azure Zebra.png,G3SG1 Azure Zebra sniper automática
G3SG1 Black Sand.png,G3SG1 Black Sand sniper automática
G3SG1 Chronos.png,G3SG1 Chronos sniper automática
G3SG1 Contractor.png,G3SG1 Contractor sniper automática
G3SG1 Demeter.png,G3SG1 Demeter sniper automática
G3SG1 Desert Storm.png,G3SG1 Desert Storm sniper automática
G3SG1 Digital Mesh.png,G3SG1 Digital Mesh sniper automática
G3SG1 Dream Glade.png,G3SG1 Dream Glade sniper automática
G3SG1 Flux.png,G3SG1 Flux sniper automática
G3SG1 Green Apple.png,G3SG1 Green Apple sniper automática
G3SG1 High Seas.png,G3SG1 High Seas sniper automática
G3SG1 Hunter.png,G3SG1 Hunter sniper automática
G3SG1 Jungle Dashed.png,G3SG1 Jungle Dashed sniper automática
G3SG1 Keeping Tabs.png,G3SG1 Keeping Tabs sniper automática
G3SG1 Murky.png,G3SG1 Murky sniper automática
G3SG1 New Roots.png,G3SG1 New Roots sniper automática
G3SG1 Orange Crash.png,G3SG1 Orange Crash sniper automática
G3SG1 Orange Kimono.png,G3SG1 Orange Kimono sniper automática
G3SG1 Polar Camo.png,G3SG1 Polar Camo sniper automática
G3SG1 Safari Mesh.png,G3SG1 Safari Mesh sniper automática
G3SG1 Scavenger.png,G3SG1 Scavenger sniper automática
G3SG1 Stinger.png,G3SG1 Stinger sniper automática
G3SG1 VariCamo.png,G3SG1 VariCamo sniper automática
G3SG1 Ventilator.png,G3SG1 Ventilator sniper automática
G3SG1 Violet Murano.png,G3SG1 Violet Murano sniper automática
Galil AR Akoben.png,Galil AR Akoben rifle de assalto
Galil AR Amber Fade.png,Galil AR Amber Fade rifle de assalto degradê colorido brilhante
Galil AR Aqua Terrace.png,Galil AR Aqua Terrace rifle de assalto
Galil AR Black Sand.png,Galil AR Black Sand rifle de assalto
Galil AR Blue Titanium.png,Galil AR Blue Titanium rifle de assalto
Galil AR CAUTION!.png,Galil AR CAUTION! rifle de assalto
Galil AR Cerberus.png,Galil AR Cerberus rifle de assalto
Galil AR Chromatic Aberration.png,Galil AR Chromatic Aberration rifle de assalto
Galil AR Cold Fusion.png,Galil AR Cold Fusion rifle de assalto
Galil AR Connexion.png,Galil AR Connexion rifle de assalto
Galil AR Crimson Tsunami.png,Galil AR Crimson Tsunami rifle de assalto
Galil AR Destruidora.png,Galil AR Destruidora rifle de assalto
Galil AR Dusk Ruins.png,Galil AR Dusk Ruins rifle de assalto
Galil AR Firefight.png,Galil AR Firefight rifle de assalto
Galil AR Hunting Blind.png,Galil AR Hunting Blind rifle de assalto
Galil AR Kami.png,Galil AR Kami rifle de assalto
Galil AR Orange DDPAT.png,Galil AR Orange DDPAT rifle de assalto
Galil AR Phoenix Blacklight.png,Galil AR Phoenix Blacklight rifle de assalto
Galil AR Rocket Pop.png,Galil AR Rocket Pop rifle de assalto
Galil AR Sage Spray.png,Galil AR Sage Spray rifle de assalto
Galil AR Shattered.png,Galil AR Shattered rifle de assalto
Galil AR Signal.png,Galil AR Signal rifle de assalto
Galil AR Stone Cold.png,Galil AR Stone Cold rifle de assalto
Galil AR Sugar Rush.png,Galil AR Sugar Rush rifle de assalto
Galil AR Tornado.png,Galil AR Tornado rifle de assalto
Galil AR Tuxedo.png,Galil AR Tuxedo rifle de assalto
Galil AR Urban Rubble.png,Galil AR Urban Rubble rifle de assalto
Galil AR Vandal.png,Galil AR Vandal rifle de assalto
Galil AR VariCamo.png,Galil AR VariCamo rifle de assalto
Galil AR Winter Forest.png,Galil AR Winter Forest rifle de assalto
Glock-18 Block-18.png,Glock-18 Block-18 pistola
Glock-18 Blue Fissure.png,Glock-18 Blue Fissure pistola
Glock-18 Brass.png,Glock-18 Brass pistola
Glock-18 Bullet Queen.png,Glock-18 Bullet Queen pistola anime vermelha
Glock-18 Bunsen Burner.png,Glock-18 Bunsen Burner pistola
Glock-18 Candy Apple.png,Glock-18 Candy Apple pistola
Glock-18 Catacombs.png,Glock-18 Catacombs pistola
Glock-18 Clear Polymer.png,Glock-18 Clear Polymer pistola
Glock-18 Dragon Tattoo.png,Glock-18 Dragon Tattoo pistola
Glock-18 Fade.png,Glock-18 Fade pistola degradê colorido brilhante
Glock-18 Franklin.png,Glock-18 Franklin pistola
Glock-18 Grinder.png,Glock-18 Grinder pistola
Glock-18 Groundwater.png,Glock-18 Groundwater pistola
Glock-18 High Beam.png,Glock-18 High Beam pistola
Glock-18 Ironwork.png,Glock-18 Ironwork pistola
Glock-18 Moonrise.png,Glock-18 Moonrise pistola
Glock-18 Neo-Noir.png,Glock-18 Neo-Noir pistola rosa roxa anime neon
Glock-18 Night.png,Glock-18 Night pistola
Glock-18 Nuclear Garden.png,Glock-18 Nuclear Garden pistola
Glock-18 Off World.png,Glock-18 Off World pistola
Glock-18 Oxide Blaze.png,Glock-18 Oxide Blaze pistola
Glock-18 Pink DDPAT.png,Glock-18 Pink DDPAT pistola
Glock-18 Ramese's Reach.png,Glock-18 Ramese's Reach pistola
Glock-18 Reactor.png,Glock-18 Reactor pistola
Glock-18 Red Tire.png,Glock-18 Red Tire pistola
Glock-18 Royal Legion.png,Glock-18 Royal Legion pistola
Glock-18 Sacrifice.png,Glock-18 Sacrifice pistola
Glock-18 Sand Dune.png,Glock-18 Sand Dune pistola
Glock-18 Snack Attack.png,Glock-18 Snack Attack pistola
Glock-18 Steel Disruption.png,Glock-18 Steel Disruption pistola
Glock-18 Synth Leaf.png,Glock-18 Synth Leaf pistola
Glock-18 Twilight Galaxy.png,Glock-18 Twilight Galaxy pistola
Glock-18 Umbral Rabbit.png,Glock-18 Umbral Rabbit pistola
Glock-18 Vogue.png,Glock-18 Vogue pistola
Glock-18 Warhawk.png,Glock-18 Warhawk pistola
Glock-18 Wasteland Rebel.png,Glock-18 Wasteland Rebel pistola
Glock-18 Water Elemental.png,Glock-18 Water Elemental pistola água azul elemental
Glock-18 Weasel.png,Glock-18 Weasel pistola
Glock-18 Winterized.png,Glock-18 Winterized pistola
Glock-18 Wraiths.png,Glock-18 Wraiths pistola
Gut Knife Autotronic.png,Gut Knife Autotronic faca
Gut Knife Black Laminate.png,Gut Knife Black Laminate faca
Gut Knife Blue Steel.png,Gut Knife Blue Steel faca
Gut Knife Boreal Forest.png,Gut Knife Boreal Forest faca
Gut Knife Bright Water.png,Gut Knife Bright Water faca
Gut Knife Case Hardened.png,Gut Knife Case Hardened faca metálica azul dourada
Gut Knife Crimson Web.png,Gut Knife Crimson Web faca vermelha teia de aranha
Gut Knife Damascus Steel.png,Gut Knife Damascus Steel faca
Gut Knife Fade.png,Gut Knife Fade faca degradê colorido brilhante
Gut Knife Forest DDPAT.png,Gut Knife Forest DDPAT faca
Gut Knife Freehand.png,Gut Knife Freehand faca
Gut Knife Lore.png,Gut Knife Lore faca
Gut Knife Marble Fade.png,Gut Knife Marble Fade faca degradê colorido brilhante degradê mármore colorido
Gut Knife Night.png,Gut Knife Night faca
Gut Knife Safari Mesh.png,Gut Knife Safari Mesh faca
Gut Knife Scorched.png,Gut Knife Scorched faca
Gut Knife Slaughter.png,Gut Knife Slaughter faca
Gut Knife Stained.png,Gut Knife Stained faca
Gut Knife Tiger Tooth.png,Gut Knife Tiger Tooth faca dourada listras de tigre
Gut Knife Ultraviolet.png,Gut Knife Ultraviolet faca
Gut Knife Urban Masked.png,Gut Knife Urban Masked faca
Gut Knife Vanilla.png,Gut Knife Vanilla faca
Huntsman Knife  Black Laminate.png,Huntsman Knife  Black Laminate
Huntsman Knife Autotronic.png,Huntsman Knife Autotronic
Huntsman Knife Black Laminate.png,Huntsman Knife Black Laminate
Huntsman Knife Blue Steel.png,Huntsman Knife Blue Steel
Huntsman Knife Boreal Forest.png,Huntsman Knife Boreal Forest
Huntsman Knife Case Hardened.png,Huntsman Knife Case Hardened metálica azul dourada
Huntsman Knife Crimson Web.png,Huntsman Knife Crimson Web vermelha teia de aranha
Huntsman Knife Damascus Steel.png,Huntsman Knife Damascus Steel
Huntsman Knife Fade.png,Huntsman Knife Fade degradê colorido brilhante
Huntsman Knife Forest DDPAT.png,Huntsman Knife Forest DDPAT
Huntsman Knife Freehand.png,Huntsman Knife Freehand
Huntsman Knife Lore.png,Huntsman Knife Lore
Huntsman Knife Marble.png,Huntsman Knife Marble
Huntsman Knife Night.png,Huntsman Knife Night
Huntsman Knife Safari Mesh.png,Huntsman Knife Safari Mesh
Huntsman Knife Scorched.png,Huntsman Knife Scorched
Huntsman Knife Slaughter.png,Huntsman Knife Slaughter
Huntsman Knife Stained.png,Huntsman Knife Stained
Huntsman Knife Tiger Tooth.png,Huntsman Knife Tiger Tooth dourada listras de tigre
Huntsman Knife Ultraviolet.png,Huntsman Knife Ultraviolet
Huntsman Knife Urban Masked.png,Huntsman Knife Urban Masked
Huntsman Knife Vanilla.png,Huntsman Knife Vanilla
Karambit Autotronic.png,Karambit Autotronic faca curva
Karambit Black Laminate.png,Karambit Black Laminate faca curva
Karambit Blue Steel.png,Karambit Blue Steel faca curva
Karambit Boreal Forest.png,Karambit Boreal Forest faca curva
Karambit Bright Water.png,Karambit Bright Water faca curva
Karambit Case Hardened.png,Karambit Case Hardened faca curva metálica azul dourada
Karambit Crimson Web.png,Karambit Crimson Web faca curva vermelha teia de aranha
Karambit Damascus Steel.png,Karambit Damascus Steel faca curva
Karambit Fade.png,Karambit Fade faca curva degradê colorido brilhante
Karambit Forest DDPAT.png,Karambit Forest DDPAT faca curva
Karambit Freehand.png,Karambit Freehand faca curva
Karambit Lore.png,Karambit Lore faca curva
Karambit Marble Fade.png,Karambit Marble Fade faca curva degradê colorido brilhante degradê mármore colorido
Karambit Night.png,Karambit Night faca curva
Karambit Safari Mesh.png,Karambit Safari Mesh faca curva
Karambit Scorched.png,Karambit Scorched faca curva
Karambit Slaughter.png,Karambit Slaughter faca curva
Karambit Stained.png,Karambit Stained faca curva
Karambit Tiger Tooth.png,Karambit Tiger Tooth faca curva dourada listras de tigre
Karambit Ultraviolet.png,Karambit Ultraviolet faca curva
Karambit Urban Masked.png,Karambit Urban Masked faca curva
Karambit Vanilla.png,Karambit Vanilla faca curva
Kukri Knife Blue Steel.png,Kukri Knife Blue Steel faca kukri
Kukri Knife Boreal Forest.png,Kukri Knife Boreal Forest faca kukri
Kukri Knife Case Hardened.png,Kukri Knife Case Hardened faca kukri metálica azul dourada
Kukri Knife Fade.png,Kukri Knife Fade faca kukri degradê colorido brilhante
Kukri Knife Forest DDPAT.png,Kukri Knife Forest DDPAT faca kukri
Kukri Knife Night Stripe.png,Kukri Knife Night Stripe faca kukri
Kukri Knife Safari Mesh.png,Kukri Knife Safari Mesh faca kukri
Kukri Knife Scorched.png,Kukri Knife Scorched faca kukri
Kukri Knife Slaughter.png,Kukri Knife Slaughter faca kukri
Kukri Knife Stained.png,Kukri Knife Stained faca kukri
Kukri Knife Urban Masked.png,Kukri Knife Urban Masked faca kukri
Kukri Knife Vanilla.png,Kukri Knife Vanilla faca kukri
M249 Aztec.png,M249 Aztec metralhadora pesada
M249 Blizzard Marbleized.png,M249 Blizzard Marbleized metralhadora pesada
M249 Contrast Spray.png,M249 Contrast Spray metralhadora pesada
M249 Deep Relief.png,M249 Deep Relief metralhadora pesada
M249 Downtown.png,M249 Downtown metralhadora pesada
M249 Emerald Poison Dart.png,M249 Emerald Poison Dart metralhadora pesada
M249 Gator Mesh.png,M249 Gator Mesh metralhadora pesada
M249 Humidor.png,M249 Humidor metralhadora pesada
M249 Impact Drill.png,M249 Impact Drill metralhadora pesada
M249 Jungle DDPAT.png,M249 Jungle DDPAT metralhadora pesada
M249 Jungle.png,M249 Jungle metralhadora pesada
M249 Magma.png,M249 Magma metralhadora pesada
M249 Midnight Palm.png,M249 Midnight Palm metralhadora pesada
M249 Nebula Crusader.png,M249 Nebula Crusader metralhadora pesada
M249 O.S.I.P.R..png,M249 O.S.I.P.R. metralhadora pesada
M249 Predator.png,M249 Predator metralhadora pesada
M249 Shipping Forecast.png,M249 Shipping Forecast metralhadora pesada
M249 Spectre.png,M249 Spectre metralhadora pesada
M249 Submerged.png,M249 Submerged metralhadora pesada
M249 System Lock.png,M249 System Lock metralhadora pesada
M249 Warbird.png,M249 Warbird metralhadora pesada
M4A1-S Atomic Alloy.png,M4A1-S Atomic Alloy rifle de assalto silenciado
M4A1-S Basilisk.png,M4A1-S Basilisk rifle de assalto silenciado
M4A1-S Black Lotus.png,M4A1-S Black Lotus rifle de assalto silenciado
M4A1-S Blood Tiger.png,M4A1-S Blood Tiger rifle de assalto silenciado
M4A1-S Blue Phosphor.png,M4A1-S Blue Phosphor rifle de assalto silenciado
M4A1-S Boreal Forest.png,M4A1-S Boreal Forest rifle de assalto silenciado
M4A1-S Briefing.png,M4A1-S Briefing rifle de assalto silenciado
M4A1-S Chantico's Fire.png,M4A1-S Chantico's Fire rifle de assalto silenciado
M4A1-S Control Panel.png,M4A1-S Control Panel rifle de assalto silenciado
M4A1-S Cyrex.png,M4A1-S Cyrex rifle de assalto silenciado preta vermelha futurista
M4A1-S Dizimadora.png,M4A1-S Dizimadora rifle de assalto silenciado
M4A1-S Efervescente.png,M4A1-S Efervescente rifle de assalto silenciado
M4A1-S Emphorosaur-S.png,M4A1-S Emphorosaur-S rifle de assalto silenciado
M4A1-S Flashback.png,M4A1-S Flashback rifle de assalto silenciado
M4A1-S Golden Coil.png,M4A1-S Golden Coil rifle de assalto silenciado
M4A1-S Guardian.png,M4A1-S Guardian rifle de assalto silenciado
M4A1-S Hot Rod.png,M4A1-S Hot Rod rifle de assalto silenciado
M4A1-S Hyper Beast.png,M4A1-S Hyper Beast rifle de assalto silenciado monstro colorida psicodélica
M4A1-S Icarus Fell.png,M4A1-S Icarus Fell rifle de assalto silenciado
M4A1-S Imminent Danger.png,M4A1-S Imminent Danger rifle de assalto silenciado
M4A1-S Knight.png,M4A1-S Knight rifle de assalto silenciado
M4A1-S Leaded Glass.png,M4A1-S Leaded Glass rifle de assalto silenciado
M4A1-S Master Piece.png,M4A1-S Master Piece rifle de assalto silenciado
M4A1-S Mecha Industries.png,M4A1-S Mecha Industries rifle de assalto silenciado
M4A1-S Moss Quartz.png,M4A1-S Moss Quartz rifle de assalto silenciado
M4A1-S Mud-Spec.png,M4A1-S Mud-Spec rifle de assalto silenciado
M4A1-S Night Terror.png,M4A1-S Night Terror rifle de assalto silenciado
M4A1-S Nightmare.png,M4A1-S Nightmare rifle de assalto silenciado
M4A1-S Nitro.png,M4A1-S Nitro rifle de assalto silenciado
M4A1-S Player Two.png,M4A1-S Player Two rifle de assalto silenciado
M4A1-S Printstream.png,M4A1-S Printstream rifle de assalto silenciado branca moderna futurista
M4A1-S VariCamo.png,M4A1-S VariCamo rifle de assalto silenciado
M4A1-S Welcome to the Jungle.png,M4A1-S Welcome to the Jungle rifle de assalto silenciado
M4A4 Bullet Rain.png,M4A4 Bullet Rain rifle de assalto
M4A4 Buzz Kill.png,M4A4 Buzz Kill rifle de assalto
M4A4 Conversor.png,M4A4 Conversor rifle de assalto
M4A4 Cyber Security.png,M4A4 Cyber Security rifle de assalto
M4A4 Dark Blossom.png,M4A4 Dark Blossom rifle de assalto
M4A4 Daybreak.png,M4A4 Daybreak rifle de assalto
M4A4 Desert Storm.png,M4A4 Desert Storm rifle de assalto
M4A4 Desert-Strike.png,M4A4 Desert-Strike rifle de assalto
M4A4 Desolate Space.png,M4A4 Desolate Space rifle de assalto
M4A4 Estrela de Batalha.png,M4A4 Estrela de Batalha rifle de assalto
M4A4 Etch Lord.png,M4A4 Etch Lord rifle de assalto
M4A4 Evil Daimyo.png,M4A4 Evil Daimyo rifle de assalto
M4A4 Eye of Horus.png,M4A4 Eye of Horus rifle de assalto
M4A4 Faded Zebra.png,M4A4 Faded Zebra rifle de assalto degradê colorido brilhante
M4A4 Global Offensive.png,M4A4 Global Offensive rifle de assalto
M4A4 Griffin.png,M4A4 Griffin rifle de assalto
M4A4 Hellfire.png,M4A4 Hellfire rifle de assalto
M4A4 Howl.png,M4A4 Howl rifle de assalto
M4A4 In Living Color.png,M4A4 In Living Color rifle de assalto
M4A4 Jungle Tiger.png,M4A4 Jungle Tiger rifle de assalto
M4A4 Magnésio.png,M4A4 Magnésio rifle de assalto
M4A4 Mainframe.png,M4A4 Mainframe rifle de assalto
M4A4 Modern Hunter.png,M4A4 Modern Hunter rifle de assalto
M4A4 Neo-Noir.png,M4A4 Neo-Noir rifle de assalto rosa roxa anime neon
M4A4 O Imperador.png,M4A4 O Imperador rifle de assalto
M4A4 Poly Mag..png,M4A4 Poly Mag. rifle de assalto
M4A4 Poseidon.png,M4A4 Poseidon rifle de assalto
M4A4 Radiation Hazard.png,M4A4 Radiation Hazard rifle de assalto
M4A4 Red DDPAT.png,M4A4 Red DDPAT rifle de assalto
M4A4 Royal Paladin.png,M4A4 Royal Paladin rifle de assalto
M4A4 Spider Lily.png,M4A4 Spider Lily rifle de assalto
M4A4 Temukau.png,M4A4 Temukau rifle de assalto
M4A4 The Coalition.png,M4A4 The Coalition rifle de assalto
M4A4 Tooth Fairy.png,M4A4 Tooth Fairy rifle de assalto
M4A4 Tornado.png,M4A4 Tornado rifle de assalto
M4A4 Urban DDPAT.png,M4A4 Urban DDPAT rifle de assalto
M4A4 X-Ray.png,M4A4 X-Ray rifle de assalto
M4A4 Zirka.png,M4A4 Zirka rifle de assalto
M4A4 龍王 (Dragon King).png,M4A4 龍王 (Dragon King) rifle de assalto
M9 Bayonet Autotronic.png,M9 Bayonet Autotronic baioneta
M9 Bayonet Black laminate.png,M9 Bayonet Black laminate baioneta
M9 Bayonet Blue Steel.png,M9 Bayonet Blue Steel baioneta
M9 Bayonet Boreal Forest.png,M9 Bayonet Boreal Forest baioneta
M9 Bayonet Bright Water.png,M9 Bayonet Bright Water baioneta
M9 Bayonet Case Hardened.png,M9 Bayonet Case Hardened baioneta metálica azul dourada
M9 Bayonet Crimson Web.png,M9 Bayonet Crimson Web baioneta vermelha teia de aranha
M9 Bayonet Damascus Steel.png,M9 Bayonet Damascus Steel baioneta
M9 Bayonet Fade.png,M9 Bayonet Fade baioneta degradê colorido brilhante
M9 Bayonet Forest DDPAT.png,M9 Bayonet Forest DDPAT baioneta
M9 Bayonet Freehand.png,M9 Bayonet Freehand baioneta
M9 Bayonet Lore.png,M9 Bayonet Lore baioneta
M9 Bayonet Marble Fade.png,M9 Bayonet Marble Fade baioneta degradê colorido brilhante degradê mármore colorido
M9 Bayonet Night.png,M9 Bayonet Night baioneta
M9 Bayonet Safari Mesh.png,M9 Bayonet Safari Mesh baioneta
M9 Bayonet Scorched.png,M9 Bayonet Scorched baioneta
M9 Bayonet Slaughter.png,M9 Bayonet Slaughter baioneta
M9 Bayonet Stained.png,M9 Bayonet Stained baioneta
M9 Bayonet Tiger Tooth.png,M9 Bayonet Tiger Tooth baioneta dourada listras de tigre
M9 Bayonet Ultraviolet.png,M9 Bayonet Ultraviolet baioneta
M9 Bayonet Urban Masked.png,M9 Bayonet Urban Masked baioneta
M9 Bayonet Vanilla.png,M9 Bayonet Vanilla baioneta
MAC-10 Allure.png,MAC-10 Allure submetralhadora
MAC-10 Aloha.png,MAC-10 Aloha submetralhadora
MAC-10 Amber Fade.png,MAC-10 Amber Fade submetralhadora degradê colorido brilhante
MAC-10 Button Masher.png,MAC-10 Button Masher submetralhadora
MAC-10 Calf Skin.png,MAC-10 Calf Skin submetralhadora
MAC-10 Candy Apple.png,MAC-10 Candy Apple submetralhadora
MAC-10 Carnívora.png,MAC-10 Carnívora submetralhadora
MAC-10 Case Hardened.png,MAC-10 Case Hardened submetralhadora metálica azul dourada
MAC-10 Classic Crate.png,MAC-10 Classic Crate submetralhadora
MAC-10 Commuter.png,MAC-10 Commuter submetralhadora
MAC-10 Copper Borre.png,MAC-10 Copper Borre submetralhadora
MAC-10 Curse.png,MAC-10 Curse submetralhadora
MAC-10 Disco Tech.png,MAC-10 Disco Tech submetralhadora
MAC-10 Echoing Sands.png,MAC-10 Echoing Sands submetralhadora
MAC-10 Ensnared.png,MAC-10 Ensnared submetralhadora
MAC-10 Fade.png,MAC-10 Fade submetralhadora degradê colorido brilhante
